start,end,duration,samples,track_id,athlete_id,role,position
4936.0,4937.0,1.0,1,track_1,,unknown,unknown
4937.0,4938.0,1.0,1,track_0,,unknown,unknown
4937.0,4938.0,1.0,1,track_1,,unknown,unknown
4938.0,4939.0,1.0,1,track_0,,unknown,unknown
4938.0,4939.0,1.0,1,track_1,,unknown,unknown
4939.0,4940.0,1.0,1,track_0,,top,back
4939.0,4940.0,1.0,1,track_1,,unknown,unknown
4940.0,4941.0,1.0,1,track_0,,top,back
4940.0,4941.0,1.0,1,track_1,,unknown,unknown
4941.0,4942.0,1.0,1,track_0,,unknown,unknown
4941.0,4942.0,1.0,1,track_1,,unknown,unknown
4942.0,4943.0,1.0,1,track_0,,unknown,unknown
4942.0,4943.0,1.0,1,track_1,,unknown,unknown
4943.0,4944.0,1.0,1,track_0,,unknown,unknown
4943.0,4944.0,1.0,1,track_1,,unknown,unknown
4944.0,4945.0,1.0,1,track_0,,unknown,unknown
4944.0,4945.0,1.0,1,track_1,,unknown,unknown
4945.0,4946.0,1.0,1,track_0,,unknown,unknown
4945.0,4946.0,1.0,1,track_1,,unknown,unknown
4946.0,4947.0,1.0,1,track_0,,unknown,unknown
4946.0,4947.0,1.0,1,track_1,,unknown,unknown
4947.0,4948.0,1.0,1,track_0,,unknown,unknown
4947.0,4948.0,1.0,1,track_1,,unknown,unknown
4948.0,4949.0,1.0,1,track_0,,unknown,unknown
4948.0,4949.0,1.0,1,track_1,,unknown,unknown
4949.0,4950.0,1.0,1,track_0,,unknown,unknown
4949.0,4950.0,1.0,1,track_1,,unknown,unknown
4950.0,4951.0,1.0,1,track_0,,unknown,unknown
4950.0,4951.0,1.0,1,track_1,,unknown,unknown
4951.0,4952.0,1.0,1,track_0,,unknown,unknown
4951.0,4952.0,1.0,1,track_1,,unknown,unknown
4952.0,4953.0,1.0,1,track_0,,unknown,unknown
4952.0,4953.0,1.0,1,track_1,,unknown,unknown
4953.0,4954.0,1.0,1,track_0,,unknown,unknown
4953.0,4954.0,1.0,1,track_1,,unknown,unknown
4954.0,4955.0,1.0,1,track_0,,unknown,unknown
4954.0,4955.0,1.0,1,track_1,,unknown,unknown
4955.0,4956.0,1.0,1,track_0,,unknown,unknown
4955.0,4956.0,1.0,1,track_1,,unknown,unknown
4956.0,4957.0,1.0,1,track_0,,unknown,unknown
4956.0,4957.0,1.0,1,track_1,,unknown,unknown
4957.0,4958.0,1.0,1,track_0,,unknown,unknown
4957.0,4958.0,1.0,1,track_1,,unknown,unknown
4958.0,4959.0,1.0,1,track_0,,unknown,unknown
4958.0,4959.0,1.0,1,track_1,,unknown,unknown
4959.0,4960.0,1.0,1,track_0,,unknown,unknown
4959.0,4960.0,1.0,1,track_1,,unknown,unknown
4960.0,4961.0,1.0,1,track_0,,unknown,unknown
4960.0,4961.0,1.0,1,track_1,,unknown,unknown
4961.0,4962.0,1.0,1,track_0,,unknown,unknown
4961.0,4962.0,1.0,1,track_1,,unknown,unknown
4962.0,4963.0,1.0,1,track_0,,unknown,unknown
4962.0,4963.0,1.0,1,track_1,,unknown,unknown
4963.0,4964.0,1.0,1,track_0,,unknown,unknown
4963.0,4964.0,1.0,1,track_1,,unknown,unknown
4964.0,4965.0,1.0,1,track_0,,unknown,unknown
4964.0,4965.0,1.0,1,track_1,,unknown,unknown
4965.0,4966.0,1.0,1,track_0,,unknown,unknown
4965.0,4966.0,1.0,1,track_1,,unknown,unknown
4966.0,4967.0,1.0,1,track_0,,unknown,unknown
4966.0,4967.0,1.0,1,track_1,,unknown,unknown
4967.0,4968.0,1.0,1,track_0,,unknown,unknown
4967.0,4968.0,1.0,1,track_1,,unknown,unknown
4968.0,4969.0,1.0,1,track_0,,unknown,unknown
4968.0,4969.0,1.0,1,track_1,,unknown,unknown
4969.0,4970.0,1.0,1,track_0,,unknown,unknown
4969.0,4970.0,1.0,1,track_1,,unknown,unknown
4970.0,4971.0,1.0,1,track_0,,unknown,unknown
4970.0,4971.0,1.0,1,track_1,,unknown,unknown
4971.0,4972.0,1.0,1,track_0,,unknown,unknown
4971.0,4972.0,1.0,1,track_1,,unknown,unknown
4972.0,4973.0,1.0,1,track_0,,unknown,unknown
4972.0,4973.0,1.0,1,track_1,,unknown,unknown
4973.0,4974.0,1.0,1,track_0,,unknown,unknown
4973.0,4974.0,1.0,1,track_1,,unknown,unknown
4974.0,4975.0,1.0,1,track_0,,unknown,unknown
4974.0,4975.0,1.0,1,track_1,,unknown,unknown
4975.0,4976.0,1.0,1,track_0,,unknown,unknown
4975.0,4976.0,1.0,1,track_1,,unknown,unknown
4976.0,4977.0,1.0,1,track_0,,unknown,unknown
4976.0,4977.0,1.0,1,track_1,,unknown,unknown
4977.0,4978.0,1.0,1,track_0,,unknown,unknown
4977.0,4978.0,1.0,1,track_1,,unknown,unknown
4978.0,4979.0,1.0,1,track_0,,unknown,unknown
4978.0,4979.0,1.0,1,track_1,,unknown,unknown
4979.0,4980.0,1.0,1,track_0,,unknown,unknown
4979.0,4980.0,1.0,1,track_1,,unknown,unknown
4980.0,4981.0,1.0,1,track_0,,unknown,unknown
4980.0,4981.0,1.0,1,track_1,,unknown,unknown
4981.0,4982.0,1.0,1,track_0,,unknown,unknown
4981.0,4982.0,1.0,1,track_1,,unknown,unknown
4982.0,4983.0,1.0,1,track_0,,unknown,unknown
4982.0,4983.0,1.0,1,track_1,,unknown,unknown
4983.0,4984.0,1.0,1,track_0,,unknown,unknown
4983.0,4984.0,1.0,1,track_1,,unknown,unknown
4984.0,4985.0,1.0,1,track_0,,unknown,unknown
4984.0,4985.0,1.0,1,track_1,,unknown,unknown
4985.0,4986.0,1.0,1,track_0,,unknown,unknown
4985.0,4986.0,1.0,1,track_1,,unknown,unknown
